Address,SourceEUI(kBtu/sf),SecondLargestPropertyUseType,PrimaryPropertyType,State,NaturalGas(therms),Electricity(kBtu),SiteEUIWN(kBtu/sf),ThirdLargestPropertyUseTypeGFA,SiteEnergyUseWN(kBtu),TaxParcelIdentificationNumber,Neighborhood,Outlier,BuildingType,DefaultData,City,PropertyGFABuilding(s),SteamUse(kBtu),PropertyName,ListOfAllPropertyUseTypes,YearBuilt,GHGEmissionsIntensity,CouncilDistrictCode,Longitude,LargestPropertyUseTypeGFA,PropertyGFAParking,SiteEUI(kBtu/sf),Latitude,SourceEUIWN(kBtu/sf),ZipCode,PropertyGFATotal,NumberofFloors,YearsENERGYSTARCertified,NaturalGas(kBtu),LargestPropertyUseType,OSEBuildingID,Electricity(kWh),ENERGYSTARScore,DataYear,ComplianceStatus,ThirdLargestPropertyUseType,NumberofBuildings,SecondLargestPropertyUseTypeGFA
2440 W Commodore Way,173.0,Office,Warehouse,WA,4809.92041,1249609.0,75.90000153,,1943594.875,2771605265,MAGNOLIA / QUEEN ANNE,,NonResidential,False,Seattle,25600,0.0,Commodore,"Non-Refrigerated Warehouse, Office",1974,1.34,7,-122.38831,20600.0,0,67.59999847,47.66238,188.6999969,98199.0,25600,1.0,,480992.0,Non-Refrigerated Warehouse,22502,366239.3125,1.0,2016,Compliant,,1.0,5000.0
401 Broadway E,58.79999924,Supermarket/Grocery Store,Mixed Use Property,WA,2079.0698239999997,2554939.0,19.79999924,41014.0,2778832.75,6850700316 and 6850700315,EAST,,NonResidential,False,Seattle,81422,0.0,Broadway Market,"Multifamily Housing, Parking, Personal Services (Health/Beauty, Dry Cleaning, etc), Retail Store, Supermarket/Grocery Store",1916,0.2,3,-122.32092,89820.0,59401,19.70000076,47.62256,58.90000153,98102.0,140823,2.0,,207907.0,Parking,40348,748809.6875,,2016,Compliant,Multifamily Housing,1.0,64000.0
1405 Elliott Ave W,109.0,Non-Refrigerated Warehouse,Mixed Use Property,WA,3237.537598,731279.0,47.40000153,5306.0,1146510.375,7666201770,MAGNOLIA / QUEEN ANNE,,NonResidential,False,Seattle,24196,0.0,Elliott Commons,"Medical Office, Non-Refrigerated Warehouse, Office, Other",1931,0.92,7,-122.37411999999999,8711.0,0,43.59999847,47.630340000000004,114.5,98119.0,24196,1.0,,323754.0,Other,23743,214325.7031,,2016,Compliant,Office,1.0,6792.0
1600 East Olive St,266.1000061,,Other,WA,1145.719971,3257087.0,91.69999695,,3564727.5,7234600405,EAST,,NonResidential,False,Seattle,27551,0.0,Sound Mental Health,Urgent Care/Clinic/Other Outpatient,1975,0.74,3,-122.31111000000001,38879.0,11328,86.69999695,47.61674,281.7000122,98122.0,38879,2.0,,114572.0,Urgent Care/Clinic/Other Outpatient,27833,954597.6875,,2016,Compliant,,5.0,
802 S. Dearborn St.,254.3000031,Medical Office,Senior Care Community,WA,26765.61133,7428816.0,100.0,3231.0,10281401.0,8592900105,DOWNTOWN,,NonResidential,False,Seattle,90185,0.0,ID Village Square 1,"K-12 School, Medical Office, Office, Restaurant, Retail Store, Senior Care Community",1999,1.89,2,-122.3218,55259.0,12611,98.30000305,47.59626,256.1000061,98104.0,102796,5.0,,2676561.0,Senior Care Community,278,2177261.5,,2016,Compliant,K-12 School,1.0,40091.0
10 Harrison St.,174.6000061,Parking,Mixed Use Property,WA,0.0,564754.0,57.70000076,2095.0,585965.6875,1988200090,MAGNOLIA / QUEEN ANNE,,NonResidential,False,Seattle,17824,0.0,Century,"Office, Parking, Restaurant",1964,0.16,7,-122.35653,8061.0,7308,55.59999847,47.6223,181.1999969,98109.0,25132,4.0,,0.0,Office,21459,165520.0,41.0,2016,Compliant,Restaurant,1.0,8000.0
241 S Lander St,101.6999969,Distribution Center,Other,WA,22728.74023,1705403.0,60.59999847,7604.0,4608482.0,7666205335,GREATER DUWAMISH,,NonResidential,False,Seattle,76442,0.0,Pacific Galleries,"Distribution Center, Office, Other",1953,1.73,2,-122.33131000000002,50500.0,0,52.29999924,47.579409999999996,110.40000149999999,98134.0,76442,2.0,,2272874.0,Other,622,499824.9063,,2016,Compliant,Office,1.0,18000.0
4503 17th Ave NE,90.5,,Residence Hall,WA,0.0,637685.0,29.5,,652060.0,8823902415,NORTHEAST,,NonResidential,False,Seattle,22124,0.0,4503,Residence Hall/Dormitory,1929,0.2,4,-122.31007,22124.0,0,28.79999924,47.6617,92.5,98105.0,22124,3.0,,0.0,Residence Hall/Dormitory,26906,186894.7969,82.0,2016,Compliant,,1.0,
10330 Meridian Ave N,305.10000610000003,,Medical Office,WA,40408.10156,11600182.0,120.3000031,,16041286.0,3226049177,NORTHWEST,,NonResidential,False,Seattle,133298,0.0,NWH Outpatient Medical Center,Medical Office,1961,2.22,5,-122.33272,133298.0,0,117.3000031,47.70449,308.2000122,98133.0,133298,3.0,,4040810.0,Medical Office,585,3399819.0,21.0,2016,Compliant,,1.0,
1933 5th Avenue,288.89999389999997,,Restaurant,WA,22139.2207,1319044.0,162.0,,3625967.75,0659000430,DOWNTOWN,,NonResidential,False,Seattle,22381,0.0,G4 Capital Sea Holdings LLC,Restaurant,1923,5.66,7,-122.33904,22381.0,0,157.8999939,47.61332,292.10000610000003,98101.0,22381,3.0,,2213922.0,Restaurant,19896,386589.8125,,2016,Compliant,,1.0,
1943 1st Avenue South,106.59999850000001,Retail Store,Small- and Mid-Sized Office,WA,0.0,1441445.0,34.0,,1441445.625,7666207160,GREATER DUWAMISH,,NonResidential,False,Seattle,49052,0.0,1943 First Avenue,"Office, Retail Store",1910,0.2,2,-122.3347,32393.0,0,34.0,47.58462,106.59999850000001,98134.0,49052,3.0,,0.0,Office,24822,422463.5,96.0,2016,Compliant,,0.0,10057.0
1325 6th Ave,220.60000609999997,,Hotel,WA,28667.04883,14578058.0,111.40000149999999,,34527356.0,1975700025,DOWNTOWN,,NonResidential,False,Seattle,305548,16284570.0,WAC aggregate,Hotel,1930,4.94,7,-122.33379,310000.0,0,108.8000031,47.60968,222.1999969,98101.0,305548,21.0,,2866705.0,Hotel,401,4272584.5,58.0,2016,Compliant,,1.0,
111 South Jackson Street,113.09999850000001,,Small- and Mid-Sized Office,WA,0.0,2830674.0,36.0,,2830674.75,5247800255,DOWNTOWN,,NonResidential,False,Seattle,78920,0.0,111 S. Jackson,Office,1904,0.25,2,-122.33379,78564.0,0,36.0,47.59895,113.09999850000001,98104.0,78920,5.0,2017,0.0,Office,609,829623.1875,88.0,2016,Compliant,,1.0,
1300 1st Avenue,519.0,Other - Recreation,Mixed Use Property,WA,4755.599609000001,34936812.0,212.39999390000003,26380.0,53734196.0,1974700010,DOWNTOWN,,NonResidential,False,Seattle,154660,17548416.0,Seattle Art Museum,"Data Center, Library, Non-Refrigerated Warehouse, Office, Other - Entertainment/Public Assembly, Other - Recreation, Other - Services, Restaurant, Social/Meeting Hall",1991,10.5,7,-122.33776999999999,119815.0,0,209.3000031,47.6074,522.7000122,98101.0,154660,6.0,,475560.0,Other - Entertainment/Public Assembly,525,10239394.0,,2016,Compliant,Social/Meeting Hall,1.0,63101.0
333 Boren Ave. N.,174.1999969,Parking,Large Office,WA,73996.85156,32206199.0,64.19999695,26203.0,40153432.0,1986200410,LAKE UNION,,NonResidential,False,Seattle,571329,0.0,City Place IV - SEDO,"Office, Other, Parking",2010,1.08,7,-122.33628999999999,598801.0,0,63.40000153,47.62112,176.3999939,98109.0,571329,12.0,,7399685.0,Office,107,9439097.0,91.0,2016,Compliant,Other,1.0,310699.0
1300 N 97th ST,262.7000122,Distribution Center,Small- and Mid-Sized Office,WA,23783.73047,7093984.0,106.09999850000001,11850.0,10005492.0,4310701070,NORTHWEST,,Nonresidential COS,False,Seattle,91130,0.0,North Service Center,"Data Center, Distribution Center, Office, Other, Parking",1957,1.93,5,-122.34136000000001,57968.0,0,100.5,47.70044,272.2000122,98103.0,91130,2.0,,2378373.0,Office,238,2079127.75,,2016,Compliant,Parking,1.0,32881.0
201 Thomas St.,235.1999969,,Other,WA,8245.049805,1604709.0,90.80000305,,2642231.75,1985200130,MAGNOLIA / QUEEN ANNE,,Nonresidential COS,False,Seattle,29000,0.0,SCT Technical Pavilion,Other,1962,1.9,7,-122.35251000000001,25100.0,0,83.40000153,47.62082,245.89999390000003,98109.0,29000,1.0,,824505.0,Other,49862,470313.3125,,2016,Compliant,,0.0,
1265 Republican St.,151.8999939,Other - Restaurant/Bar,Small- and Mid-Sized Office,WA,4598.419922,1659964.0,56.79999924,,2127889.25,6849200110,LAKE UNION,,NonResidential,False,Seattle,27788,0.0,Supply Laundry Building,"Office, Other - Restaurant/Bar",1912,1.3,7,-122.33081999999999,32610.0,0,56.59999847,47.62298,152.1999969,98109.0,27788,2.0,,459842.0,Office,26183,486507.6875,73.0,2016,Compliant,,1.0,4874.0
9892 40th Ave S,136.8999939,Office,Warehouse,WA,12829.999020000001,1276462.0,72.40000153,,2832228.5,0323049202,GREATER DUWAMISH,,NonResidential,False,Seattle,37351,0.0,pape' Material Handling Seattle,"Non-Refrigerated Warehouse, Office",1969,2.06,2,-122.28192,29551.0,0,65.40000153,47.51018,144.1999969,98118.0,37351,1.0,,1283000.0,Non-Refrigerated Warehouse,19570,374109.5,10.0,2016,Compliant,,1.0,9569.0
5036 25th Ave NE,162.5,,Hotel,WA,36521.69141,3016399.0,82.19999695,,6731281.5,0925049117,NORTHEAST,,NonResidential,False,Seattle,81871,0.0,Silver Cloud University,Hotel,1994,2.63,4,-122.29965,81871.0,0,81.5,47.66583,164.8999939,98105.0,81871,4.0,,3652169.0,Hotel,40,884056.0,29.0,2016,Compliant,,1.0,
201 Queen Anne Ave N,161.3999939,Parking,Small- and Mid-Sized Office,WA,0.0,2991674.0,51.90000153,,3018140.75,1989201010,MAGNOLIA / QUEEN ANNE,,NonResidential,False,Seattle,58195,0.0,Queen Anne Plaza,"Office, Parking",1985,0.24,7,-122.35706,58195.0,28800,51.40000153,47.62003,162.8000031,98109.0,86995,4.0,,0.0,Office,492,876809.625,81.0,2016,Compliant,,1.0,28800.0
2820 S. Orcas St.,78.30000305,,K-12 School,WA,7357.766113,1066165.0,38.0,,2001525.875,7857000410,GREATER DUWAMISH,,SPS-District K-12,True,Seattle,52609,0.0,Dearborn Park Int'l Elementary,K-12 School,1971,0.88,2,-122.29628999999998,52609.0,0,34.29999924,47.55226,83.40000153,98108.0,52609,2.0,,735777.0,K-12 School,23877,312475.0938,67.0,2016,Error - Correct Default Data,,1.0,
2255 4TH AVE S,136.0,Office,Mixed Use Property,WA,5850.080078,969591.0,61.59999847,4920.0,1658135.375,7666205180,GREATER DUWAMISH,,NonResidential,False,Seattle,21947,0.0,(ID#40008) KC Metro Transit Power Distribution,"Office, Other, Parking",2004,1.72,2,-122.32937,14877.0,0,57.79999924,47.5823,139.3000031,98134.0,21947,3.0,,585008.0,Other,40008,284170.9063,,2016,Compliant,Parking,1.0,12023.0
13224 37th Ave NE,84.5,,Other,WA,7290.722656,632722.0,46.20000076,,1505296.875,1454100350,NORTH,,SPS-District K-12,False,Seattle,32590,0.0,Cedar Park Building,Other,2013,1.32,5,-122.28747,32590.0,0,41.79999924,47.72606,89.09999847,98125.0,32590,1.0,,729072.0,Other,20494,185440.2031,,2016,Compliant,,1.0,
3736 Rainier Ave S,32.0,,Self-Storage Facility,WA,726.8301392000001,868162.0,10.69999981,,940844.6875,3357400211,SOUTHEAST,,NonResidential,False,Seattle,87576,0.0,West Coast Self-Storage of Columbia City,Self-Storage Facility,2014,0.1,2,-122.29138999999999,87576.0,14004,10.69999981,47.57054,32.0,98144.0,101580,4.0,,72683.0,Self-Storage Facility,49998,254443.5938,,2016,Compliant,,1.0,
810 Third Avenue,123.5,Retail Store,Large Office,WA,0.0,7301810.0,47.20000076,10624.0,9510490.0,0942000550,DOWNTOWN,,NonResidential,False,Seattle,201480,1619966.875,The Central Building,"Non-Refrigerated Warehouse, Office, Retail Store",1907,0.87,7,-122.33261,161762.0,0,44.29999924,47.60471,129.3999939,98104.0,201480,8.0,,0.0,Office,356,2140038.0,91.0,2016,Compliant,Non-Refrigerated Warehouse,1.0,29094.0
1718 Broadway,76.59999847,,University,WA,11290.31055,2055974.0,33.79999924,,3372443.75,6003001105,EAST,,NonResidential,False,Seattle,99765,0.0,SCCC MITCHELL ACTIVITY CENTER/BOOKSTORE,College/University,1993,0.74,3,-122.32083,99765.0,0,31.89999962,47.61699,78.59999847,98122.0,99765,2.0,,1129031.0,College/University,49925,602571.5,,2016,Compliant,,1.0,
1255 WESTLAKE AVE N,74.5,,Other,WA,5532.279785,458796.0,41.90000153,,1138349.25,3025049004,MAGNOLIA / QUEEN ANNE,,NonResidential,False,Seattle,27144,0.0,NATIONAL SIGN,Other,1920,1.2,7,-122.34136000000001,27144.0,0,37.29999924,47.63132,79.40000153,98109.0,27144,2.0,,553228.0,Other,23056,134465.5,,2016,Compliant,,1.0,
401 Broadway,175.6000061,,Medical Office,WA,0.0,9941307.0,55.90000153,,9941308.0,8590900805,EAST,,NonResidential,False,Seattle,162150,0.0,Patricia Steele Building,Medical Office,2003,0.25,3,-122.32147979999999,177748.0,112980,55.90000153,47.605636600000004,175.6000061,98122.0,275130,5.0,,0.0,Medical Office,861,2913630.5,70.0,2016,Compliant,,1.0,
2960 4th Ave S,91.40000153,Retail Store,Other,WA,7635.529785,804194.0,45.0,,1638043.5,7666204200,GREATER DUWAMISH,,NonResidential,False,Seattle,36400,0.0,2960 4th Ave S (Old Pacific Industrial Supply),"Other, Retail Store",2009,1.27,2,-122.32789,21400.0,0,43.09999847,47.57587,94.69999695,98134.0,36400,1.0,,763553.0,Other,24227,235695.7031,,2016,Compliant,,1.0,15000.0
321 Mercer St.,171.1999969,,Other,WA,0.0,13512686.0,70.30000305,,20823520.0,1988200700,MAGNOLIA / QUEEN ANNE,,Nonresidential COS,False,Seattle,262048,5137220.0,McCaw Hall,Other,1928,1.87,7,-122.35143000000001,296000.0,0,70.0,47.62395,175.1999969,98109.0,262048,2.0,,0.0,Other,112,3960341.75,,2016,Compliant,,1.0,
1000 1st Ave S,137.1999969,Office,Distribution Center,WA,0.0,2688675.0,43.70000076,6000.0,2688675.75,7666206676,GREATER DUWAMISH,,NonResidential,False,Seattle,64800,0.0,Palmer Court Building,"Distribution Center, Office, Parking",1910,0.25,2,-122.33367,51040.0,10800,43.70000076,47.59403,137.1999969,98134.0,75600,6.0,,0.0,Distribution Center,628,788005.6875,15.0,2016,Compliant,Parking,1.0,10500.0
4725 25th AVE NE,109.1999969,,Hotel,WA,7694.679687999999,817987.0,53.09999847,,1640279.375,0925049404,NORTHEAST,,NonResidential,False,Seattle,24100,0.0,University Travelodge,Hotel,1961,1.93,4,-122.30123,30910.0,0,51.40000153,47.66355,114.59999850000001,98105.0,24100,2.0,,769468.0,Hotel,20066,239738.2031,91.0,2016,Compliant,,2.0,
214 Galer St,99.5,Parking,Small- and Mid-Sized Office,WA,5638.379883,862441.0,45.59999847,,1513388.25,2107700160,LAKE UNION,,NonResidential,False,Seattle,33176,0.0,Galer,"Office, Parking",1987,1.08,4,-122.32529,33176.0,0,43.0,47.63245,102.1999969,98102.0,33176,3.0,,563838.0,Office,21580,252767.0938,89.0,2016,Compliant,,1.0,15000.0
500 E Pike St,211.1999969,Office,Mixed Use Property,WA,15849.53027,1077101.0,117.1999969,5375.0,2800725.0,8804900865,EAST,,NonResidential,False,Seattle,24476,0.0,Greenus Building,"Fitness Center/Health Club/Gym, Office, Other, Other - Utility, Restaurant, Retail Store",1924,3.75,3,-122.3253,7501.0,0,111.40000149999999,47.614259999999994,219.10000609999997,98122.0,24476,2.0,,1584953.0,Fitness Center/Health Club/Gym,26115,315680.3125,,2016,Compliant,Retail Store,1.0,5872.0
6701 Fox Ave S,127.09999850000001,,Warehouse,WA,0.0,1618916.0,42.29999924,,1692054.125,0001800128,GREATER DUWAMISH,,NonResidential,False,Seattle,44100,0.0,SeaTac Marine Services,Non-Refrigerated Warehouse,1976,0.26,2,-122.33051,40000.0,0,40.5,47.54137,132.8000031,98108.0,44100,1.0,,0.0,Non-Refrigerated Warehouse,19477,474477.1875,1.0,2016,Compliant,,1.0,
13700 Aurora Ave. N.,97.5,,Hotel,WA,9747.070313,969192.0,47.29999924,,1974631.125,6149700055,NORTHWEST,,NonResidential,False,Seattle,33120,0.0,Comfort Inn and Suites,Hotel,1990,1.4,5,-122.34473,41704.0,8584,46.59999847,47.729,99.80000305,98133.0,41704,4.0,,974707.0,Hotel,26218,284054.0,73.0,2016,Compliant,,1.0,
4925 Corson Ave. S.,64.59999847,,K-12 School,WA,887.6842041000001,1066312.0,22.89999962,,1220512.25,3869400560,GREATER DUWAMISH,,SPS-District K-12,True,Seattle,50546,0.0,Maple Elementary,K-12 School,1971,0.24,2,-122.3189,53234.0,0,21.70000076,47.55813,67.5,98108.0,50546,1.0,,88768.0,K-12 School,23204,312518.1875,94.0,2016,Error - Correct Default Data,,1.0,
818-832 NE Northgate Way,169.8000031,,Other,WA,1841.069946,5266334.0,55.79999924,,5502264.5,2926049468,North,,NonResidential,False,Seattle,98539,0.0,Northgate Village,Strip Mall,1969,0.47,5,-122.31843,98539.0,0,55.29999924,47.7094,170.3000031,98125.0,98539,2.0,,184107.0,Strip Mall,576,1543474.25,,2016,Compliant,,0.0,
660 S. Othello St.,20.5,,Distribution Center,WA,7.638800144,774965.0,6.5,,775864.1875,2136200695,GREATER DUWAMISH,,NonResidential,False,Seattle,119661,0.0,Frye Distribution Center,Distribution Center,1960,0.05,2,-122.3232,118733.0,0,6.5,47.53764,20.5,98108.0,119661,1.0,,764.0,Distribution Center,451,227129.2969,97.0,2016,Compliant,,1.0,
605 First Avenue,170.3999939,Retail Store,Small- and Mid-Sized Office,WA,0.0,3065954.0,54.29999924,,3065954.5,8591400075,DOWNTOWN,,NonResidential,False,Seattle,56700,0.0,Mutual Life Building,"Office, Retail Store",1900,0.38,7,-122.33436999999999,46000.0,0,54.29999924,47.60197,170.3999939,98104.0,56700,6.0,,0.0,Office,679,898579.6875,55.0,2016,Compliant,,1.0,10500.0
901 Fifth Avenue,361.2000122,Parking,Large Office,WA,0.0,68636822.0,119.40000149999999,18026.0,71568952.0,0942000365,DOWNTOWN,,NonResidential,False,Seattle,446184,882983.5,901 Fifth Avenue,"Financial Office, Office, Parking, Retail Store",1973,0.88,7,-122.33165,581558.0,171500,115.90000149999999,47.606159999999996,372.0,98164.0,617684,42.0,201520142013,0.0,Office,355,20116302.0,28.0,2016,Compliant,Retail Store,1.0,189600.0
21 S Nevada St,6.400000095,Non-Refrigerated Warehouse,Retail Store,WA,964.6400146,49005.0,3.599999905,,145468.7969,1824049074,GREATER DUWAMISH,Low outlier,NonResidential,True,Seattle,39900,0.0,Seattle Habitat Store,"Non-Refrigerated Warehouse, Retail Store",1953,0.14,2,-122.34053999999999,25000.0,0,3.599999905,47.56535,6.400000095,98134.0,39900,1.0,,96464.0,Retail Store,20617,14362.5,100.0,2016,Error - Correct Default Data,,1.0,15000.0
12500 Aurora Avenue North,132.1999969,Non-Refrigerated Warehouse,Small- and Mid-Sized Office,WA,5617.898926,1488811.0,54.20000076,,2158188.5,1926049190,NORTHWEST,,NonResidential,False,Seattle,39815,0.0,"Cochran, Inc","Non-Refrigerated Warehouse, Office",1951,1.01,5,-122.34418000000001,27118.0,0,51.5,47.720040000000004,135.1000061,98133.0,39815,2.0,,561790.0,Office,21213,436345.5,62.0,2016,Compliant,,1.0,12697.0
542 1st Avenue South,244.5,Retail Store,Small- and Mid-Sized Office,WA,21510.59766,3457540.0,103.5,,5550151.0,7666206851,DOWNTOWN,,NonResidential,False,Seattle,66842,0.0,The Reedo Building,"Office, Retail Store",1904,2.07,2,-122.33378,43122.0,0,104.5999985,47.59701,241.10000609999997,98104.0,66842,4.0,,2151060.0,Office,630,1013347.0,31.0,2016,Compliant,,1.0,10514.0
4732 Brooklyn Ave NE,741.4000244,Parking,Supermarket / Grocery Store,WA,22385.90039,5349470.0,301.89999389999997,,7798479.5,8816401015,NORTHEAST,,NonResidential,False,Seattle,26226,0.0,Safeway 3091 - Brooklyn Ave,"Parking, Supermarket/Grocery Store",1950,5.96,4,-122.31388999999999,25828.0,0,293.7999878,47.66429,745.4000244,98105.0,26226,1.0,,2238590.0,Supermarket/Grocery Store,26529,1567839.875,37.0,2016,Compliant,,1.0,0.0
6901 fox ave south,20.79999924,Other,Warehouse,WA,14372.51855,371850.0,16.29999924,,2098949.75,0001800113,GREATER DUWAMISH,,NonResidential,False,Seattle,128800,0.0,Dawn Food Products,"Non-Refrigerated Warehouse, Other",1977,0.61,2,-122.33023,119200.0,0,14.0,47.540659999999995,23.29999924,98108.0,128800,1.0,,1437252.0,Non-Refrigerated Warehouse,384,108982.8984,97.0,2016,Compliant,,1.0,9600.0
704 Terry Ave,609.7000122000001,Parking,Other,WA,1113.5,5782654.0,313.7000122,,14745217.0,8590900585,EAST,,NonResidential,False,Seattle,47699,8630381.0,Charles & Emma Frye Free Public Art Museum,"Museum, Parking",1951,14.94,3,-122.32416,47000.0,0,309.0,47.60709,615.4000244,98104.0,47699,1.0,,111350.0,Museum,23310,1694799.0,,2016,Compliant,,1.0,0.0
821 2nd ave,89.30000305,Convenience Store without Gas Station,Large Office,WA,0.0,10062435.0,29.60000038,1437.0,10471812.0,0939000335,DOWNTOWN,,NonResidential,False,Seattle,384302,0.0,Seattle Exchange Building,"Convenience Store without Gas Station, Food Service, Office",1929,0.18,7,-122.33497,348969.0,0,28.39999962,47.60403,93.0,98104.0,384302,22.0,201220092008,0.0,Office,342,2949131.0,98.0,2016,Compliant,Food Service,1.0,3291.899902
8319 8th Ave S,105.3000031,Fitness Center/Health Club/Gym,Mixed Use Property,WA,3706.01001,348870.17600000004,55.5,484.0,782841.3125,7883603155,GREATER DUWAMISH,,Nonresidential COS,False,Seattle,14101,0.0,South Park Community Center,"Fitness Center/Health Club/Gym, Food Service, Office, Other - Recreation, Pre-school/Daycare",1989,1.57,1,-122.32431000000001,6601.0,0,51.0,47.52832,110.8000031,,14101,1.0,,370601.001,Other - Recreation,50225,102248.0,,2016,Compliant,Pre-school/Daycare,1.0,6501.0
3013 S. Mt. Baker Blvd.,78.5,,K-12 School,WA,23700.86328,6449764.0,33.0,,9542598.0,5700000455,SOUTHEAST,,SPS-District K-12,True,Seattle,289588,0.0,Franklin High,K-12 School,1990,0.59,2,-122.29365,289588.0,0,30.5,47.57589,82.30000305,98144.0,289588,4.0,,2370086.0,K-12 School,169,1890317.75,90.0,2016,Error - Correct Default Data,,1.0,
1700 1ST AVE S,128.8000031,Restaurant,Other,WA,2268.460205,775118.0,50.70000076,3812.0,1051152.375,7666206400,GREATER DUWAMISH,,NonResidential,False,Seattle,20747,0.0,(ID24701) Showbox SODO,"Office, Other - Entertainment/Public Assembly, Restaurant",1935,0.84,2,-122.33365,11815.0,0,48.29999924,47.58787,131.3000031,98134.0,20747,2.0,,226846.0,Other - Entertainment/Public Assembly,24701,227174.0938,,2016,Compliant,Office,1.0,5120.0
2101 NW 77th St,103.9000015,Fitness Center/Health Club/Gym,Other,WA,9725.390625,658940.0,61.09999847,1445.0,1816709.0,6021504080,BALLARD,,Nonresidential COS,False,Seattle,29417,0.0,Loyal Heights Community Center,"Fitness Center/Health Club/Gym, Office, Other - Recreation, Pre-school/Daycare",1950,1.91,6,-122.38257,18489.0,0,54.90000153,47.68475,112.1999969,98117.0,29417,2.0,,972539.0,Other - Recreation,26961,193124.2969,,2016,Compliant,Pre-school/Daycare,1.0,8946.0
11111 Aurora Ave. N,157.5,,Other,WA,34758.00781,3.0,157.5,,3648465.5,3026049008,NORTHWEST,,NonResidential,False,Seattle,23166,0.0,Evergreen Washelli,Other,1970,7.97,5,-122.34557,23166.0,0,150.0,47.70969,165.3999939,98133.0,23166,1.0,,3475801.0,Other,23064,1.0,,2016,Compliant,,5.0,
603 Stewart Street,131.6999969,Retail Store,Small- and Mid-Sized Office,WA,0.0,1357845.0,74.40000153,,3826622.5,0659000350,DOWNTOWN,,NonResidential,False,Seattle,55652,2086424.75,Lloyd building,"Office, Retail Store",1926,2.69,7,-122.33665,45260.0,7757,66.90000153,47.61356,140.6000061,98101.0,63409,10.0,,0.0,Office,330,397961.5938,90.0,2016,Compliant,,1.0,6187.0
4900 25th Ave Ne,125.40000149999999,,Retail Store,WA,2157.0,953695.0,48.5,,1245673.0,0925049406,NORTHEAST,,NonResidential,False,Seattle,25735,0.0,000956-Seattle,Retail Store,1996,0.7,4,-122.29932,25691.0,0,45.5,47.6646,128.5,98105.0,25735,1.0,2013,215700.0,Retail Store,19845,279512.0,82.0,2016,Compliant,,1.0,
10001 57th Ave. S,71.40000153,,Worship Facility,WA,12184.0,611581.0,46.79999924,,2095655.25,1686400005,SOUTHEAST,,NonResidential,False,Seattle,27876,0.0,St. Paul Church & School,Worship Facility,1954,2.47,2,-122.26276999999999,44816.0,0,40.79999924,47.51042,78.5,98178.0,27876,2.0,,1218400.0,Worship Facility,20928,179244.2031,69.0,2016,Compliant,,1.0,
1325 4th Avenue,202.1000061,Parking,Large Office,WA,0.0,14315950.0,95.69999695,11888.0,28559888.0,0002400002,DOWNTOWN,,NonResidential,False,Seattle,298426,12760971.0,Puget Sound Plaza,"Office, Other - Education, Parking",1960,3.64,7,-122.33588,286538.0,0,90.69999695,47.60869,206.8999939,98101.0,298426,21.0,2017201320092008,0.0,Office,387,4195765.0,79.0,2016,Compliant,Other - Education,1.0,197750.0
1005 Spring Street,112.90000149999999,,Hotel,WA,20358.32813,605147.0,79.30000305,,2835357.0,8590901030,EAST,,NonResidential,False,Seattle,35770,0.0,Hotel - The Baroness Hotel,Hotel,1928,3.14,3,-122.32646000000001,35770.0,0,73.80000305,47.60958,118.59999850000001,98104.0,35770,6.0,,2035833.0,Hotel,23408,177358.5,56.0,2016,Compliant,,1.0,
4222 8th Ave NW,48.0,,Distribution Center,WA,5663.370117,687408.0,24.39999962,,1395637.75,1982203385,BALLARD,,NonResidential,False,Seattle,57310,0.0,Double Y Investment Co.,Distribution Center,1951,0.61,6,-122.36638,57310.0,0,21.89999962,47.6583,51.20000076,98107.0,57310,1.0,,566337.0,Distribution Center,21389,201467.9063,,2016,Compliant,,3.0,
1415 Summit Avenue,143.8999939,,K-12 School,WA,20883.94922,1537012.0,80.5,,3928621.25,8804901000,EAST,,NonResidential,False,Seattle,60000,0.0,Northwest School,K-12 School,1904,2.03,3,-122.32593999999999,48783.0,0,74.30000305,47.61339,150.3999939,98122.0,60000,3.0,,2088395.0,K-12 School,26125,450472.5,52.0,2016,Compliant,,1.0,
1423 NW Market St,660.2000122000001,Parking,Supermarket / Grocery Store,WA,62214.59375,7808020.0,307.7000122,,14473242.0,2768300240,BALLARD,,NonResidential,False,Seattle,46068,0.0,Safeway 1477 - Market St,"Parking, Supermarket/Grocery Store",2000,4.32,6,-122.37428,47034.0,43035,298.2999878,47.668279999999996,665.5999756,98107.0,89103,1.0,,6221459.0,Supermarket/Grocery Store,22240,2288399.75,34.0,2016,Compliant,,1.0,0.0
1506 Fifth Avenue,390.10000610000003,,Retail Store,WA,1324.889771,1968493.0,132.6000061,,2147472.5,1975700155,DOWNTOWN,,NonResidential,False,Seattle,36504,0.0,Coliseum,Retail Store,1915,0.57,7,-122.33549,16200.0,0,129.6999969,47.61103,393.10000610000003,98101.0,36504,1.0,,132489.0,Retail Store,21317,576932.375,2.0,2016,Compliant,,1.0,
